date,open,high,close,low,volume,price_change,p_change
2015-08-13,2608.74,2684.258,2684.258,2578.907,13616738.0,62.07,2.37
2015-08-12,2658.843,2700.401,2622.188,2622.188,13864486.0,-76.724,-2.84
2015-08-11,2705.037,2747.832,2698.912,2675.147,18026770.0,-7.806,-0.29
2015-08-10,2606.735,2726.9,2706.718,2593.414,18239544.0,129.725,5.03
2015-08-07,2509.963,2586.529,2576.993,2505.274,15553370.0,96.067,3.87
2015-08-06,2441.955,2517.991,2480.926,2430.53,12142614.0,-21.115,-0.84
2015-08-05,2542.269,2584.191,2502.041,2480.445,18245428.0,-44.121,-1.73
2015-08-04,2396.408,2546.162,2546.162,2380.281,17577914.0,146.889,6.12
2015-08-03,2475.328,2494.801,2399.273,2371.479,18499054.0,-140.571,-5.54
2015-07-31,2507.265,2605.344,2539.844,2499.245,16712347.0,-21.347,-0.83
2015-07-30,2671.455,2707.759,2561.191,2556.093,20107766.0,-132.674,-4.92
2015-07-29,2617.938,2693.99,2693.865,2483.916,23028010.0,111.903,4.33
2015-07-28,2546.406,2705.184,2581.962,2492.189,25486582.0,-101.484,-3.78
2015-07-27,2822.374,2924.08,2683.446,2683.051,23062916.0,-214.378,-7.4
2015-07-24,2976.935,3014.177,2897.824,2879.264,22685882.0,-70.128,-2.36
2015-07-23,2896.249,2969.347,2967.952,2864.428,20453252.0,70.579,2.44
2015-07-22,2882.061,2932.06,2897.373,2828.447,21116864.0,14.476,0.5
2015-07-21,2802.022,2917.407,2882.897,2779.533,20576328.0,34.594,1.22
2015-07-20,2820.723,2907.148,2848.303,2777.914,24973320.0,64.979,2.33
2015-07-17,2651.44,2805.798,2783.324,2646.501,20353928.0,156.248,5.95
2015-07-16,2526.647,2698.155,2627.076,2439.239,21895142.0,37.045,1.43
2015-07-15,2750.655,2750.655,2590.031,2583.462,22188240.0,-136.017,-4.99
2015-07-14,2725.043,2827.551,2726.048,2715.975,15534561.0,42.974,1.6
2015-07-13,2612.768,2683.074,2683.074,2592.196,11165850.0,147.185,5.8
2015-07-10,2487.388,2535.889,2535.889,2478.865,6957866.0,100.134,4.11
2015-07-09,2338.109,2435.755,2435.755,2338.109,9349042.0,71.706,3.03
2015-07-08,2304.761,2364.08,2364.049,2304.761,15828311.0,12.039,0.51
2015-07-07,2398.103,2415.681,2352.01,2350.966,9891903.0,-141.818,-5.69
2015-07-06,2795.671,2795.671,2493.828,2417.558,23671806.0,-111.448,-4.28
2015-07-03,2559.025,2788.763,2605.276,2458.285,22300358.0,-44.04,-1.66
2015-07-02,2756.245,2825.153,2649.316,2591.05,20405232.0,-110.092,-3.99
2015-07-01,2842.166,3008.194,2759.408,2743.606,23090570.0,-99.198,-3.47
2015-06-30,2566.017,2875.09,2858.606,2485.456,23935744.0,168.846,6.28
2015-06-29,2943.504,2950.129,2689.76,2663.438,16987214.0,-230.943,-7.91
2015-06-26,3078.398,3078.398,2920.703,2915.939,14602158.0,-285.678,-8.91
2015-06-25,3403.628,3408.232,3206.381,3172.368,15386743.0,-177.023,-5.23
2015-06-24,3425.569,3459.46,3383.404,3304.672,15831177.0,-10.536,-0.31
2015-06-23,3314.885,3397.266,3393.94,3154.602,16332555.0,78.964,2.38
2015-06-19,3408.526,3476.033,3314.976,3304.65,16048859.0,-189.578,-5.41
2015-06-18,3734.91,3752.179,3504.554,3497.732,15820256.0,-236.803,-6.33
2015-06-17,3586.371,3754.369,3741.357,3511.11,17017692.0,150.688,4.2
2015-06-16,3636.787,3669.818,3590.669,3475.354,18433278.0,-105.358,-2.85
2015-06-15,3919.356,3919.356,3696.027,3688.89,18918534.0,-203.678,-5.22
